('Total Revenue', '1,765,485,215', '1,765,485,214', '1,765,485,213', '1,765,485,212', '1,765,485,209')
         163976 function calls (159127 primitive calls) in 0.979 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
       24    0.000    0.000    0.006    0.000 enum.py:251(__set_name__)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:731(_validate_timestamp_pyc)
      294    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
      380    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       55    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
      334    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       80    0.000    0.000    0.012    0.000 _compiler.py:576(_code)
      349    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        2    0.000    0.000    0.456    0.228 connection.py:540(getresponse)
      124    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
      375    0.000    0.000    0.000    0.000 <frozen os>:735(__iter__)
      238    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      308    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
        1    0.000    0.000    0.768    0.768 financial.py:9(get_financial_data)
      220    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      963    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      336    0.000    0.000    0.000    0.000 socket.py:744(readable)
       46    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
      142    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      186    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1552(find_spec)
       18    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1676(_fill_cache)
      2/1    0.000    0.000    0.756    0.756 sessions.py:673(send)
      963    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      378    0.000    0.000    0.000    0.000 <frozen os>:798(decode)
      320    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    91/71    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      592    0.000    0.000    0.000    0.000 response.py:392(__len__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
  143/140    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:675(_check_name_wrapper)
      308    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      672    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
    64/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      315    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      447    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      190    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      448    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       35    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      444    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      308    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:979(update)
       93    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      329    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
    62/58    0.000    0.000    0.002    0.000 typing.py:426(inner)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      428    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      525    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      192    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       98    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
        3    0.000    0.000    0.018    0.006 utils.py:1(<module>)
      256    0.000    0.000    0.000    0.000 response.py:187(has_unconsumed_tail)
       12    0.000    0.000    0.000    0.000 message.py:535(get_all)
       73    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
       12    0.000    0.000    0.000    0.000 enum.py:1459(_missing_)
       21    0.000    0.000    0.001    0.000 typing.py:753(Union)
        2    0.000    0.000    0.000    0.000 _collections.py:341(extend)
      358    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      279    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       16    0.000    0.000    0.000    0.000 message.py:500(get)
      338    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      513    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      292    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       45    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
        2    0.000    0.000    0.455    0.227 client.py:324(begin)
       35    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
        2    0.000    0.000    0.000    0.000 client.py:213(_read_headers)
      408    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      299    0.000    0.000    0.000    0.000 client.py:453(isclosed)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      108    0.000    0.000    0.000    0.000 enum.py:695(__call__)
       39    0.000    0.000    0.453    0.012 {method 'readline' of '_io.BufferedReader' objects}
       45    0.000    0.000    0.000    0.000 contextlib.py:303(helper)
      137    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
        2    0.000    0.000    0.000    0.000 response.py:722(__init__)
       80    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       82    0.000    0.000    0.000    0.000 response.py:886(_error_catcher)
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      326    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       41    0.000    0.000    0.147    0.004 response.py:952(_fp_read)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1234(path_stats)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        2    0.000    0.000    0.453    0.226 client.py:291(_read_status)
        1    0.000    0.000    0.009    0.009 socket.py:1(<module>)
      108    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      473    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      420    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
       43    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       35    0.000    0.000    0.000    0.000 _collections.py:306(add)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        2    0.000    0.000    0.019    0.010 request.py:1(<module>)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        5    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2316(__init__)
  127/125    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       44    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
        2    0.000    0.000    0.027    0.014 connection.py:1(<module>)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       30    0.000    0.000    0.000    0.000 enum.py:1059(_add_member_)
       80    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       60    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       69    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.016    0.016 url.py:1(<module>)
      3/2    0.000    0.000    0.534    0.267 sessions.py:159(resolve_redirects)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1681(extract_cookies)
    57/31    0.000    0.000    0.105    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        2    0.000    0.000    0.581    0.291 connectionpool.py:592(urlopen)
      298    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(__init__)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1488(_path_hooks)
      192    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x104fc4040}
        2    0.000    0.000    0.583    0.291 adapters.py:590(send)
      187    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       52    0.000    0.000    0.000    0.000 ipaddress.py:1939(__init__)
        2    0.000    0.000    0.581    0.290 connectionpool.py:377(_make_request)
       41    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
       47    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        4    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
        6    0.000    0.000    0.001    0.000 cookies.py:124(extract_cookies_to_jar)
       41    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 _colorize.py:1(<module>)
        2    0.000    0.000    0.002    0.001 client.py:231(_parse_header_lines)
        1    0.000    0.000    0.016    0.016 ssl.py:1(<module>)
        2    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1600(make_cookies)
        2    0.000    0.000    0.001    0.000 adapters.py:336(build_response)
       55    0.000    0.000    0.000    0.000 _compiler.py:470(_get_charset_prefix)
       21    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
        1    0.000    0.000    0.027    0.027 cookiejar.py:1(<module>)
      160    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      211    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        7    0.000    0.000    0.002    0.000 typing.py:2979(_make_nmtuple)
        2    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
      210    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        2    0.000    0.000    0.002    0.001 parser.py:56(parsestr)
       18    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       10    0.000    0.000    0.000    0.000 client.py:1294(putheader)
        2    0.000    0.000    0.000    0.000 response.py:466(__init__)
        2    0.000    0.000    0.000    0.000 connection.py:424(request)
       45    0.000    0.000    0.000    0.000 contextlib.py:136(__enter__)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       42    0.000    0.000    0.000    0.000 typing.py:1307(__init__)
      136    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
        2    0.000    0.000    0.099    0.050 exceptions.py:1(<module>)
       33    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
       46    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        4    0.000    0.000    0.001    0.000 feedparser.py:178(_call_parse)
        3    0.000    0.000    0.001    0.000 request.py:2569(_proxy_bypass_macosx_sysconf)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
       12    0.000    0.000    0.000    0.000 queue.py:137(put)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
       80    0.000    0.000    0.032    0.000 __init__.py:287(compile)
       98    0.000    0.000    0.001    0.000 _parser.py:97(closegroup)
       51    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
        1    0.000    0.000    0.042    0.042 client.py:1(<module>)
       20    0.000    0.000    0.000    0.000 enum.py:1596(__or__)
      160    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
       60    0.000    0.000    0.000    0.000 enum.py:764(__delattr__)
      191    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
        2    0.000    0.000    0.003    0.001 models.py:1(<module>)
       49    0.000    0.000    0.000    0.000 utils.py:47(_has_surrogates)
       80    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
        8    0.000    0.000    0.000    0.000 message.py:602(get_content_type)
       47    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
        2    0.000    0.000    0.001    0.001 parser.py:41(parse)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.024    0.024 ssl_.py:1(<module>)
        3    0.000    0.000    0.000    0.000 url.py:367(parse_url)
       22    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        3    0.000    0.000    0.030    0.010 response.py:1(<module>)
      120    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        2    0.000    0.000    0.000    0.000 feedparser.py:102(push)
     12/1    0.000    0.000    0.000    0.000 functools.py:713(_c3_mro)
        2    0.000    0.000    0.000    0.000 _collections.py:240(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.001    0.001 ipaddress.py:2392(_IPv6Constants)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       14    0.000    0.000    0.000    0.000 typing.py:1634(__getitem__)
       12    0.000    0.000    0.000    0.000 functools.py:686(_c3_merge)
        1    0.000    0.000    0.042    0.042 connectionpool.py:1(<module>)
        2    0.000    0.000    0.000    0.000 response.py:40(assert_header_parsing)
        1    0.000    0.000    0.005    0.005 ssl_.py:225(create_urllib3_context)
       13    0.000    0.000    0.000    0.000 queue.py:177(get)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1717(path_hook_for_FileFinder)
        1    0.000    0.000    0.006    0.006 shutil.py:1(<module>)
    20/10    0.000    0.000    0.138    0.014 {built-in method builtins.__import__}
    24/21    0.000    0.000    0.052    0.002 <frozen importlib._bootstrap_external>:1319(create_module)
       41    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       25    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       12    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       12    0.000    0.000    0.000    0.000 enum.py:987(_find_data_type_)
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:1362(getLogger)
        2    0.000    0.000    0.000    0.000 message.py:243(get_payload)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
       20    0.000    0.000    0.000    0.000 parse.py:164(hostname)
