('Total Revenue', '1,765,485,215', '1,765,485,214', '1,765,485,213', '1,765,485,212', '1,765,485,209')
         163977 function calls (159128 primitive calls) in 6.027 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      292    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      190    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      108    0.000    0.000    0.001    0.000 enum.py:695(__call__)
      447    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      338    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      448    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       35    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      308    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      315    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      428    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
    62/58    0.000    0.000    0.002    0.000 typing.py:426(inner)
      279    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       45    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
      525    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       44    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
        5    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       98    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       39    0.000    0.000    0.466    0.012 {method 'readline' of '_io.BufferedReader' objects}
       12    0.000    0.000    0.000    0.000 message.py:535(get_all)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        2    0.000    0.000    0.469    0.234 connection.py:540(getresponse)
      358    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      513    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       21    0.000    0.000    0.001    0.000 typing.py:753(Union)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      408    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
       41    0.000    0.000    0.147    0.004 response.py:952(_fp_read)
       82    0.000    0.000    0.000    0.000 response.py:886(_error_catcher)
        1    0.000    0.000    0.000    0.000 utils.py:890(default_headers)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
       16    0.000    0.000    0.000    0.000 message.py:500(get)
       80    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    0.002    0.001 utils.py:207(get_netrc_auth)
      137    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
        2    0.000    0.000    0.466    0.233 client.py:291(_read_status)
        4    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
        2    0.000    0.000    0.000    0.000 client.py:213(_read_headers)
        1    0.000    0.000    0.084    0.084 connection.py:901(_ssl_wrap_socket_and_match_hostname)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
  127/125    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.468    0.234 client.py:324(begin)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1234(path_stats)
      326    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       35    0.000    0.000    0.000    0.000 _collections.py:306(add)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
        2    0.000    0.000    0.028    0.014 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        2    0.000    0.000    0.617    0.308 adapters.py:590(send)
      473    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.614    0.307 connectionpool.py:592(urlopen)
        2    0.000    0.000    0.000    0.000 _collections.py:341(extend)
        1    0.000    0.000    0.004    0.004 sessions.py:457(prepare_request)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       20    0.000    0.000    0.001    0.000 enum.py:1596(__or__)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      420    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
