('Total Revenue', '1,765,485,215', '1,765,485,214', '1,765,485,213', '1,765,485,212', '1,765,485,209')
         163976 function calls (159127 primitive calls) in 1.233 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       86    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       85    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
       85    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
       83    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       82    0.000    0.000    0.000    0.000 response.py:886(_error_catcher)
       80    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       80    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
       80    0.000    0.000    0.032    0.000 __init__.py:287(compile)
       80    0.000    0.000    0.012    0.000 _compiler.py:576(_code)
       80    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       80    0.000    0.000    0.002    0.000 _compiler.py:514(_compile_info)
       80    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       80    0.000    0.000    0.019    0.000 _parser.py:970(parse)
       80    0.000    0.000    0.031    0.000 _compiler.py:743(compile)
       78    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
       78    0.000    0.000    0.000    0.000 enum.py:1607(__and__)
       73    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       72    0.000    0.000    0.000    0.000 typing.py:789(<genexpr>)
       69    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
    64/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    64/39    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
    63/45    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
    62/58    0.000    0.000    0.002    0.000 typing.py:426(inner)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       60    0.000    0.000    0.000    0.000 enum.py:764(__delattr__)
       60    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
    57/31    0.000    0.000    0.094    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       56    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       55    0.000    0.000    0.000    0.000 _compiler.py:470(_get_charset_prefix)
       55    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1939(__init__)
       51    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       51    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
       49    0.000    0.000    0.000    0.000 utils.py:47(_has_surrogates)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       47    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1774(_parse_hextet)
       47    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       46    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       46    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       45    0.000    0.000    0.000    0.000 contextlib.py:136(__enter__)
       45    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
       45    0.000    0.000    0.000    0.000 contextlib.py:303(helper)
       44    0.000    0.000    0.000    0.000 enum.py:115(_iter_bits_lsb)
       44    0.000    0.000    0.000    0.000 enum.py:1439(_iter_member_by_value_)
       44    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
       43    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
    43/24    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       43    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
       42    0.000    0.000    0.000    0.000 enum.py:91(_is_single_bit)
       42    0.000    0.000    0.000    0.000 typing.py:1307(__init__)
       41    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       41    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
       41    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
       41    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
       41    0.000    0.000    0.178    0.004 response.py:952(_fp_read)
       41    0.000    0.000    0.177    0.004 client.py:463(read)
       41    0.001    0.000    0.179    0.004 response.py:1009(_raw_read)
       40    0.000    0.000    0.000    0.000 enum.py:799(<genexpr>)
       39    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
       39    0.000    0.000    0.672    0.017 {method 'readline' of '_io.BufferedReader' objects}
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       37    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
       37    0.000    0.000    0.000    0.000 _collections.py:295(__iter__)
       35    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
       35    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       35    0.000    0.000    0.000    0.000 _collections.py:306(add)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1904(_split_scope_id)
       35    0.000    0.000    0.000    0.000 message.py:517(set_raw)
       35    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2316(__init__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
       34    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       33    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
       33    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
       33    0.000    0.000    0.000    0.000 parse.py:108(_noop)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       32    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       32    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
       30    0.000    0.000    0.000    0.000 <frozen _collections_abc>:439(__subclasshook__)
       30    0.000    0.000    0.000    0.000 enum.py:1059(_add_member_)
       29    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       28    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       26    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
